polybench,poly_covariance,3,
polybench,poly_correlation,3,
polybench,poly_2mm,3,
polybench,poly_3mm,3,
polybench,poly_atax,3,
polybench,poly_bicg,3,
polybench,poly_doitgen,3,
polybench,poly_mvt,3,
polybench,poly_cholesky,3,
polybench,poly_durbin,3,
polybench,poly_gramschmidt,3,
polybench,poly_lu,3,
polybench,poly_ludcmp,3,
polybench,poly_trisolv,3,
polybench,poly_deriche,3,
polybench,poly_floyd-warshall,3,
polybench,poly_nussinov,3,
polybench,poly_adi,3,
polybench,poly_fdtd-2d,3,
polybench,poly_heat-3d,3,
polybench,poly_jacobi-1d,3,
polybench,poly_jacobi-2d,3,
polybench,poly_seidel-2d,3,
